"gong2012","A gps/gis method for travel mode detection in new york city"
"batty1990","Invisible cities"
"jiang2006","Location-based services and gis in perspective"
"yue2012","Exploratory calibration of a spatial interaction model using taxi gps trajectories"
"pulselli2008","Computing urban mobile landscapes through monitoring population density based on cellphone chatting"
"steenbruggen2013","Mobile phone data from gsm networks for traffic parameter and urban spatial pattern assessment: A review of applications and opportunities"
"chi2014","Uncovering regional characteristics from mobile phone data: A network science approach"
"girardin2008","Digital footprinting: Uncovering tourists with user-generated content"
"girardin2009","Towards estimating the presence of visitors from the aggregate mobile phone network activity they generate"
"wesolowski2013","The impact of biases in mobile phone ownership on estimates of human mobility"
"krings2009","Urban gravity: A model for inter-city telecommunication flows"
"kang2012","Intra-urban human mobility patterns: An urban morphology perspective"
"jing2011","Dynamic od expansion method based on mobile phone location"
"chae2012","Spatiotemporal social media analytics for abnormal event detection and examination using seasonal-trend decomposition"
"calabrese2010","The geography of taste: Analyzing cell-phone mobility and social events"
"batty2012","Smart cities of the future"
"batty2013","The new science of cities"
"onnela2007","Structure and tie strengths in mobile communication networks"
"bettencourt2013","The origins of scaling in cities"
"amini2014","The impact of social segregation on human mobility in developing and industrialized regions"
"brockmann2006","The scaling laws of human travel"
"giannotti2007","Trajectory pattern mining"
"giannotti2011","Unveiling the complexity of human mobility by querying and mining massive trajectory data"
"janssens2013","Data science and simulation in transportation research"
"onnela2007a","Analysis of a large-scale weighted network of one-to-one human communication"
"bao2012","Mining significant places from cell id trajectories: A geo-grid based approach"
"sbodio2014","All aboard: Visual exploration of cellphone mobility data to optimise public transport"
"alexander2002","Principles of emergency planning and management"
"lefebvre2013","Presentation and evaluation of an integrated model chain to respond to traffic-and health-related policy questions"
"hawley2005","A comparative analysis of areal interpolation methods"
"janecek2012","Cellular data meet vehicular traffic theory: Location area updates and cell transitions for travel time estimation"
"batty2013a","The future cities agenda"
"hoteit2013","Estimating real human trajectories through mobile phone data"
"yang2013","Potential of low-frequency automated vehicle location data for monitoring and control of bus performance"
"jiang2013","A review of urban computing for mobile phone traces: Current methods, challenges and opportunities"
"marchetti2015","Small area model-based estimators using big data sources"
"fabrikant2005","Towards an understanding of geovisualization with dynamic displays: Issues and prospects."
"kwan2005","Emergency response after 9/11: The potential of real-time 3D gis for quick emergency response in micro-spatial environments"
"sevtsuk2010","Does urban mobility have a daily routine? Learning from the aggregate data of mobile networks"
"bisker2010","Personal, public: Using diy to explore citizen-led efforts in urban computing"
"batty1997","Virtual geography"
"harrower2007","The cognitive limits of animated maps"
"ahas2005","Location based services - new challenges for planning and public administration?"
"castells2010","The rise of the network society"
"calabrese2010a","Human mobility prediction based on individual and collective geographical preferences"
"calabrese2013understanding","Understanding individual mobility patterns from urban sensing data: A mobile phone trace example"
"louail2014","From mobile phone data to the spatial structure of cities"
"heikkila2004","A real-time system for monitoring of cyclists and pedestrians"
"abbott-Jard2013","Empirical evaluation of bluetooth and wifi scanning for road transport"
"lu2010","Vehicle tracking using particle filter in wi-fi network"
"lobben2003","Classification and application of cartographic animation"
"mennis2003","Generating surface models of population using dasymetric mapping"
"yuan1997","Remodeling census population with spatial information from landsat tm imagery"
"krockel2012","Visual customer behavior analysis at the point of sale"
"haghani2010","Data collection of freeway travel time ground truth with bluetooth sensors"
"laMarca2005place","Place lab: Device positioning using radio beacons in the wild"
"arras2008","Efficient people tracking in laser range data using a multi-hypothesis leg-tracker with adaptive occlusion probabilities"
"tobler1979","Smooth pycnophylactic interpolation for geographical regions"
"sutton1997","Modeling population density with night-time satellite imagery and gis"
"thomas2001","Data, data everywhere, but can we really use them"
"rose2010","Mapping the urban wireless landscape with argos"
"mennis2006","Intelligent dasymetric mapping and its application to areal interpolation"
"zhao2005","A novel system for tracking pedestrians using multiple single-row laser-range scanners"
"macEachren2001","Research challenges in geovisualization"
"jacobs-Crisioni2014","Evaluating the impact of land-use density and mix on spatiotemporal urban activity patterns: An exploratory study using mobile phone data"
"mcMillen2004","Employment densities, spatial autocorrelation, and subcenters in large metropolitan areas"
"giuliano1991","Subcenters in the los angeles region"
"lee2007","""Edge""or ""edgless"" cities? Urban spatial structure in u.s. Metropolitan areas, 1980 to 2000\*"
"arribas-bel2014","Accidental, open and everywhere: Emerging data sources for the understanding of cities"
"reades2009","Eigenplaces: Analysing cities using the space - time structure of the mobile phone network"
"mcMillen2001","Nonparametric employment subcenter identification"
"batty2005","Cities and complexity"
"crane2008robust","Robust dynamic classes revealed by measuring the response function of a social system"
"editorial2008","A flood of hard data."
"liao2006location","Location-based activity recognition"
"eagle2009","Eigenbehaviors: Identifying structure in routine"
"wang2011","Human mobility, social ties, and link prediction"
"vu2011jyotish","Jyotish: A novel framework for constructing predictive model of people movement from joint wifi/bluetooth trace"
"farrahi2010","Probabilistic mining of socio-geographic routines from mobile phone data"
"tang2006putting","Putting people in their place: An anonymous and privacy-sensitive approach to collecting sensed data in location-based applications"
"kiukkonen2010towards","Towards rich mobile phone datasets: Lausanne data collection campaign"
"duckham2006location","Location privacy and location-aware computing"
"castells2000grassrooting","Grassrooting the space of flows. I wheeler, aoyama and warf \[eds.\] cities in the telecommunications age"
"o2006instrumenting","Instrumenting the city: Developing methods for observing and understanding the digital cityscape"
"bertolini2003mobility","Mobility environments and network cities"
"zandvliet2006short","Short-term dynamics in the use of places: A space-time typology of visitor populations in the netherlands"
"krumm2007inference","Inference attacks on location tracks"
"laurila2012mobile","The mobile data challenge: Big data for mobile computing research"
"cho2011friendship","Friendship and mobility: User movement in location-based social networks"
"krumm2009survey","A survey of computational location privacy"
"song2010a","Modelling the scaling properties of human mobility"
"steenbruggen2015","Data from mobile phone operators: A tool for smarter cities?"
"tranos2012urban","Urban and regional analysis and the digital revolution: Challenges and opportunities"
"soja1989","Postmodern geographies"
"tranos2013geography","The geography of the internet: Cities, regions and internet infrastructure in europe"
"toole2012","Inferring land use from mobile phone activity"
"sassen2001","The global city: New york, london, tokyo"
"graham1997","Cities in the real-time age: The paradigm challenge of telecommunications to the conception and planning of urban space"
"townsend2000","Life in the real-time city: Mobile telephones and urban metabolism"
"lambiotte2008","Geographical dispersal of mobile communication networks"
"graham2001","Splintering urbanism"
"graham1999","Relational concepts of space and place : Issues for planning theory and practice"
"miller2010","The data avalanche is here. Shouldn’t we be digging?"
"massey1992","Politics and space/time"
"pei2014","A new insight into land use classification based on aggregated mobile phone data"
"cheng2006","Particle filter based traffic state estimation using cell phone network data"
"licoppe2008","Using mobile phone geolocalisation for ’socio-geographical’ analysis of co-ordination, urban mobilities, and social integration patterns"
"phithakkitnukoon2010","Activity-aware map: Identifying human daily activity pattern using mobile phone data"
"wang2012","Understanding road usage patterns in urban areas"
"simini2012","A universal model for mobility and migration patterns"
"schlaich2010","Generating trajectories from mobile phone data"
"sagl2012","From social sensor data to collective human behaviour patterns: Analysing and visualising spatio-temporal dynamics in urban environments"
"becker2011a","Route classification using cellular handoff patterns"
"dobson2003","Geoslavery"
"caceres2007","Deriving origin destination data from a mobile phone network"
"phithakkitnukoon2011","Inferring asymmetry of inhabitant flow using call detail records"
"sutton2001","Census from heaven: An estimate of the global human population using night-time satellite imagery"
"bolla2000","Estimating road traffic parameters from mobile communications"
"asgari2013","A survey on human mobility and its applications"
"demissie2013","Intelligent road traffic status detection system through cellular networks handover information: An exploratory study"
"asakura2004","Tracking survey for individual travel behaviour using mobile communication instruments"
"mcKenzie2015","How where is when? On the regional variability and resolution of geosocial temporal signatures for points of interest"
"jiang2015","Mining point-of-interest data from social networks for urban land use classification and disaggregation"
"dobson2003a","LandScan2000: A new global population geography"
"chen2002","An approach to linking remotely sensed data and areal census data"
"longley2015","The geotemporal demographics of twitter usage"
"bhaduri2005","Development of a high resolution population dynamics model"
"singleton2015london","The internal structure of greater london: A comparison of national and regional geodemographic models"
"portugali2012","Complexity theories of cities have come of age: An overview with implications to urban planning and design"
"arribas-Bel2014a","The validity of the monocentric city model in a polycentric age: US metropolitan areas in 1990, 2000 and 2010"
"graham2002","Telecommunications and the city: Electronic spaces, urban places"
"hay2005","The accuracy of human population maps for public health application"
"batty2010","The pulse of the city"
"cutter2006","The changing landscape of fear"
"lam1983","Spatial interpolation methods: A review"
"hallisey2005","Cartographic visualization: An assessment and epistemological review\*"
"dobson2000","LandScan: A global population database for estimating populations at risk"
"pappalardo2013","Understanding the patterns of car travel"
"puzis2013","Augmented betweenness centrality for environmentally aware traffic monitoring in transportation networks"
"glickman1986","A methodology for estimating time‐of‐Day variations in the size of a population exposed to risk"
"neuhaus2009","UrbanDiary-a tracking project"
"monreale2009","Wherenext: A location predictor on trajectory pattern mining"
"liu2010","Uncovering cabdrivers’ behavior patterns from their digital traces"
"wan2013","Life-space characterization from cellular telephone collected gps data"
"hidalgo2008","The dynamics of a mobile phone network"
"becker2011b","A tale of one city: Using cellular network data for urban planning"
"barbera2013signals","Signals from the crowd: Uncovering social relationships through smartphone probes"
"greenstein2008","Improving wireless privacy with an identifier-free link layer protocol"
"bloessl2015scrambler","The scrambler attack: A robust physical layer attack on location privacy in vehicular networks"
"musa2012tracking","Tracking unmodified smartphones using wi-fi monitors"
"ratti2006","Mobile landscapes: Using location data from cell phones for urban analysis"
"calabrese2015","Urban sensing using mobile phone network data: A survey of research"
"abowd2004","Integrated longitudinal employer-employee data for the united states"
"alahmadi2013","Estimating the spatial distribution of the population of riyadh, saudi arabia using remotely sensed built land cover and height data"
"kim2006","Extracting a mobility model from real user traces."
"bhaduri2002","LandScan"
"cheng2012inferring","Inferring user relationship from hidden information in wlans"
"song2010limits","Limits of predictability in human mobility"
"smith2016","Spatio-temporal population modelling for enhanced assessment of urban exposure to flood risk"
"pang2007","Tryst: The case for confidential service discovery."
"foley1954","Urban daytime population: A field for demographic-ecological analysis"
"schmitt1956","Estimating daytime populations"
"nagle2014","Dasymetric modeling and uncertainty"
"mcDonald1989","Econometric studies of urban population density: A survey"
"rao2015","Small area estimation"
"reibel2005","Street-weighted interpolation techniques for demographic count estimation in incompatible zone systems"
"lane2014","Privacy, big data, and the public good: Frameworks for engagement"
"gruteser2005","Enhancing location privacy in wireless lan through disposable interface identifiers: A quantitative analysis"
"tapp2010","Areal interpolation and dasymetric mapping methods using local ancillary data sources"
"bandara2004","Design and implementation of a bluetooth signal strength based location sensing system"
"cunche2014linking","Linking wireless devices using information contained in wi-fi probe requests"
"manweiler2013","Predicting length of stay at wifi hotspots"
"vanWey2005","Confidentiality and spatially explicit data: Concerns and challenges"
"bensky2007","Wireless positioning technologies and applications, artech house"
"cunche2012iknow","I know who you will meet this evening! Linking wireless devices using wi-fi probe requests"
"zarimpas2006","Indoor 802.1 x based location determination and real-time tracking"
"chothia2010","A traceability attack against e-passports"
"he2003range","Range-free localization schemes for large scale sensor networks"
"martin1989","Mapping population data from zone centroid locations"
"pang2007a","802.11 user fingerprinting"
"moore2004robust","Robust distributed network localization with noisy range measurements"
"bahl2000","RADAR: An in-building rf-based user location and tracking system"
"wirz2012","Inferring crowd conditions from pedestrians’ location traces for real-time crowd monitoring during city-scale mass gatherings"
"morrison2000","Animation: Does it facilitate learning"
"xi2010locating","Locating sensors in the wild: Pursuit of ranging quality"
"mohan2008","Nericell: Rich monitoring of road and traffic conditions using mobile smartphones"
"saponas2007","Devices that tell on you: Privacy trends in consumer ubiquitous computing."
"bulusu2000","GPS-less low-cost outdoor localization for very small devices"
"dil2011","Stochastic radio interferometric positioning in the 2.4 ghz range."
"parrott1999","Urban gis applications"
"cai1996","Tracking human motion using multiple cameras"
"thomas2005","Illuminating the path:\[The research and development agenda for visual analytics\]"
"long2015","Combining smart card data and household travel survey to analyze jobs-housing relationships in beijing"
"matte2016defeating","Defeating mac address randomization through timing attacks"
"bhaduri2007","LandScan usa: A high-resolution geospatial and temporal modeling approach for population distribution and dynamics"
"kobayashi2011","Visualizing diurnal population change in urban areas for emergency management."
"kontokosta2015","The quantified community and neighborhood labs: A framework for computational urban planning and civic technology innovation"
"vanhoef2016","Why mac address randomization is not enough: An analysis of wi-fi network discovery mechanisms"
"lansley2016","The geography of twitter topics in london"
"gonzalez2008understanding","Understanding individual human mobility patterns"
"candia2008uncovering","Uncovering individual and collective human dynamics from mobile phone records"
"bettencourt2014","The uses of big data in cities"
"reades2007","Cellular census: Explorations in urban data collection"
"jiang2012","Clustering daily patterns of human activities in the city"
"bawa-Cavia2011","Sensing the urban: Using location-based social network data in urban analysis"
"calabrese2011","Estimating origin-destination flows using mobile phone location data"
"mellegard2011","Origin/destination-estimation using cellular network data"
"lin2015","Evaluating geo-located twitter data as a control layer for areal interpolation of population"
"ordonez2012","Estimating dynamic workplace capacities using public transport smart card data and a household travel survey"
"shin2010new","New map-matching algorithm using virtual track for pedestrian dead reckoning"
"kobsa2014user","User acceptance of footfall analytics with aggregated and anonymized mobile phone data"
"martin2016decomposition","Decomposition of mac address structure for granular device inference"
"fukuzaki2014pedestrian","A pedestrian flow analysis system using wi-fi packet sensors to a real environment"
"shimosaka2014","Extracting land-use patterns using location data from smartphones"
"erinc2013","Heterogeneous map merging using wifi signals"
"shin2013","Crowdsourcing urban sensing: Mobile phone for urban data collection"
"cheng2016","How can i guard my ap? Non-intrusive user identification for mobile devices using wifi signals"
"wang2016gait","Gait recognition using wifi signals"
"cunche2014iknow","I know your mac address: Targeted tracking of individual using wi-fi"
"kim2014","An index for characterizing spatial bursts of movements: A case study with geo-located twitter data"
"mowafi2013tracking","Tracking human mobility at mass gathering events using wisp"
"lokanathan2015","Mobile network big data for development: Demystifying the uses and challenges"
"elgohary2013","On detecting device-free entities using wifi signals"
"wang2013","Measuring human queues using wifi signals"
"zhong2016","Variability in regularity: Mining temporal mobility patterns in london, singapore and beijing using smart-card data"
"musa2011","Demo: WiFlow - real time travel time estimation using wi-fi monitors"
"antonic2013","Inferring presence status on smartphones: The big data perspective"
"yuan2016","Analyzing the distribution of human activity space from mobile phone usage: An individual and urban-oriented study"
"abedi2013","Bluetooth and wi-fi mac address based crowd data collection and monitoring : Benefits , challenges and enhancement"
"ferrara2014","Visualizing criminal networks reconstructed from mobile phone records"
"jia2014","A fine-scale spatial population distribution on the high-resolution gridded population surface and application in alachua county, florida"
"jochem2013","Estimating traveler populations at airport and cruise terminals for population distribution and dynamics"
"schauer2014estimating","Estimating crowd densities and pedestrian flows using wi-fi and bluetooth"
"fukuzaki2015statistical","Statistical analysis of actual number of pedestrians for wi-fi packet-based pedestrian flow sensing"
"di2016mind","Mind your probes: De-anonymization of large crowds through smartphone wifi probe requests"
"mathieuCunche2016","On wi-fi tracking and the pitfalls of mac address randomization"
"kontokosta2016urban","Urban phenology: Toward a real-time census of the city"
"kobus2013","Ownership versus on-campus use of mobile it devices by university students"
"qin2013discovering","Discovering human presence activities with smartphones using nonintrusive wi-fi sniffer sensors: The big data prospective"
"iqbal2014","Development of origin-destination matrices using mobile phone call data"
"do2014","The places of our lives: Visiting patterns and automatic labeling from longitudinal smartphone data"
"grauwin2015","Towards a comparative science of cities: Using mobile traffic records in new york, london, and hong kong"
"buckee2015","Quantifying seasonal population fluxes driving rubella transmission dynamics using mobile phone data."
"arribas2015new","New approaches to measure the spatial structure (s) of cities"
"pappalardo2015","Returners and explorers dichotomy in human mobility"
"sapiezynski2015","Tracking human mobility using wifi signals."
"zhang2014","Exploring human mobility with multi-source data at extremely large metropolitan scales"
"deville2014","Dynamic population mapping using mobile phone data"
"hawelka2014","Geo-located twitter as proxy for global mobility patterns"
"tranos2015","Mobile phone usage in complex urban systems: A space- time, aggregated human activity study"
"stanford2011d3","D3: Data-driven documents"
"walli1995posix","The posix family of standards"
"tange2018parallel","GNU parallel 2018"
"mcilroy1978unix","UNIX time-sharing system: Foreword"
"salus1994unix","A quarter century of unix"
"adam2014commandline","Command-line tools can be 235x faster than your hadoop cluster"
"sanjay2003gfs","The google file system"
"dean2008mapreduce","MapReduce: Simplified data processing on large clusters"
"haerder1983ptd","Principles of transaction-oriented database recovery"
"pratas2016efficient","Efficient compression of genomic sequences"
"jagadish2014big","Big data and its technical challenges"
"laney20013d","3D data management: Controlling data volume, velocity and variety"
"suthaharan2014big","Big data classification: Problems and challenges in network intrusion prediction with machine learning"
"gandomi2015beyond","Beyond the hype: Big data concepts, methods, and analytics"
"li2016geospatial","Geospatial big data handling theory and methods: A review and research challenges"
"kitchin2013big","Big data and human geography: Opportunities, challenges and risks"
"miller2015data","Data-driven geography"
"kitchin2014big","Big data, new epistemologies and paradigm shifts"
"vo2016","Fingerprinting Wi-Fi devices using software defined radios"
"reki2007","LifeTag: WiFi-based continuous location logging for life pattern analysis"
"kawaguchi2009wifi","WiFi location information system for both indoors and outdoors"
"pinelli2015comparing","Comparing urban sensing applications using event and network-driven mobile phone location data"
"cheng2016can","How can i guard my ap?: Non-intrusive user identification for mobile devices using wifi signals"
"franklin2006passive","Passive data link layer 802.11 wireless device driver fingerprinting."
"abbott2013empirical","Empirical evaluation of bluetooth and Wi-Fi scanning for road transport"
"musa2011wiflow","WiFlow: Real time travel time estimation using Wi-Fi monitors"
"demir2014analysing","Analysing the privacy policies of Wi-Fi trackers"
"campbell2008transforming","Transforming the social networking experience with sensing presence from mobile phones"
"venerandi2015measuring","Measuring urban deprivation from user generated content"
"nam2011conceptualizing","Conceptualizing smart city with dimensions of technology, people, and institutions"
"gariazzo2019spatio","Spatiotemporal analysis of urban mobility using aggregate mobile phone derived presence and demographic data: A case study in the city of rome, italy"
"abedi2013bluetooth","Bluetooth and Wi-Fi mac address based crowd data collection and monitoring: Benefits, challenges and enhancement"
"xu2013pedestrian","Pedestrain monitoring system using Wi-Fi technology and rssi based localization"
"lane2010survey","A survey of mobile phone sensing"
"lansley2016deriving","Deriving age and gender from forenames for consumer analytics"
"hong2018crowdprobe","CrowdProbe: Non-invasive crowd monitoring with Wi-Fi probe"
"konto2017","Urban phenology: Toward a real-time census of the city using Wi-Fi data"
"ieee2016","IEEE standard for information technology-telecommunications and information exchange between systems local and metropolitan area networks-specific requirements - part 11: Wireless LAN medium access control (MAC) and physical layer (PHY) specifications"
"martin2017","A study of mac address randomization in mobile devices and when it fails"
"martin2015developing","Developing a flexible framework for spatiotemporal population modeling"
"lloyd2018","Detecting address uncertainty in loyalty card data"
"torrens2008wifi","Wi-fi geographies"
"heppenstall2011agent","Agent-based models of geographical systems"
"massam1975location","Location and space in social administration"
"cdrc2018consumer","Consumer data research"
"amin2017seeing","Seeing like a city"
"bala2018clicker","Clicker - an Android app for counting pedestrian footfalls with accuracy"
"wireshark2","Wireshark - network protocol analyzer"
"sss2016","Smart street sensor project"
"freudinger2015","How talkative is your mobile device?: An experimental study of Wi-Fi probe requests"
"lugomer2017understanding","Understanding sources of measurement error in the wi-fi sensor data in the smart city"
"cdrcbook","Movements in cities: Footfall and its spatio-temporal distribution"
"kandappu2018obfuscation","Obfuscation at-source: Privacy in context-aware mobile crowd-sourcing"
"d2018role","The role of urban mobility in retail business survival"
"singleton2017urban","Urban analytics"
"atkinson2018your","Your wifi is leaking: What do your mobile apps gossip about you?"
"dinesh2017device","Device-location estimation based on rssi measurements over wifi and bluetooth"
"martinez2018measuring","Measuring and exploiting the impact of exhibition scheduling on museum attendance"
"sruthi2019iot","IOT based real time people counting system for smart buildings"
"deng2018improved","An improved heuristic drift elimination method for indoor pedestrian positioning"
"yucel2017measuring","Measuring benefits, drawbacks and risks of smart community wireless platforms"
"mccormack2017system","System and method for determining demographic information"
"arhipova2018pattern","Pattern identification by factor analysis for regions with similar economic activity based on mobile communication data"
"jia2019selecting","Selecting critical wifi aps for indoor localization based on a theoretical error analysis"
"kaur2019handbook","Handbook of research on big data and the iot"
"guzman2018statistical","A statistical approach for studying urban human dynamics"
"nikitin2019developing","Developing wlan-based intelligent positioning system for presence detection with limited sensors"
"haakegaard2018statistical","Statistical modelling for estimation of od matrices for public transport using wi-fi and apc data"
"chen2018fine","Fine-grained prediction of urban population using mobile phone location data"
"shu2017mobile","When mobile crowd sensing meets traditional industry"
"crols2019","Quantifying the ambient population using hourly population footfall data and an agent-based model of daily mobility"
"ng2017footfall","Footfall count estimation techniques using mobile data"
"zhang2019new","A new method for traffic forecasting in urban wireless communication network"
"klimek2019towards","Towards recognising individual behaviours from pervasive mobile datasets in urban spaces"
"zhang2018exploring","Exploring urban spatial hotspots’ properties using inter-connected user-location networks"
"vajakas2018mobility","Mobility episode discovery in the mobile networks based on enhanced switching kalman filter"
"kulshrestha2019real","Real-time crowd monitoring using seamless indoor-outdoor localization"
"taylor2019investigating","Investigating and validating methods of monitoring foot-traffic in night-time entertainment precincts in australia"
"lamberg2018alternative","An alternative roaming model inLoRaWAN"
"waltari2018quantifying","Quantifying the information leak in ieee 802.11 network discovery"
"tranos20188","8 mobile phone operators, their (big) data and urban analysis"
"andion2018smart","Smart behavioral analytics over a low-cost iot wi-fi tracking real deployment"
"roy2018indoor","Indoor localization for smart-handhelds with stable set of wireless access points"
"wismans2017comparison","Comparison of interpolation techniques for state estimation on urban networks"
"dai2019combination","Combination of dnn and improved knn for indoor location fingerprinting"
"mcmeel2018dark","The dark web of urban data: Fitness data ecosystems, urban design and privacy in the modern city"
"shibata2019","People crowd density estimation system using deep learning for radio wave sensing of cellular communication"
"becker1tracking","Tracking anonymized bluetooth devices"
"lin2018new","A new perspective of environmental behaviour study: A brief introduction of wi-fi indoor positioning system"
"jiameasuring","Measuring the vibrancy of urban neighborhoods using mobile phone data with an improved pagerank algorithm"
"rossi2015spatio","Spatio-temporal techniques for user identification by means of gps mobility data"
"zhu2018digital","Digital urban sensing: A multi-layered approach"
"adamsky2018wlan","WLAN device fingerprinting using channel state information (csi)"
"han2018preventing","Preventing wi-fi privacy leakage: A user behavioral similarity approach"
"roy2018smartphone","Smartphone based indoor localization using stable access points"
"cutter2003gi","GI science, disasters, and emergency management"
